i  symbol  | frequency | timestamp  |        open        |        high
|        low         |       close        |  prediction  | trainmodel
----------+-----------+------------+--------------------+--------------------
+--------------------+--------------------+--------------+------------
 GOOGL.US | D         | 2026-07-21 |   347.745458168328 |  367.3540329739593
|  329.1835472656225 |   347.745458168328 | ARIMA        | BAYESOPT
 GOOGL.US | D         | 2026-07-21 | 348.46180600843087 | 368.11077403812754
|  329.8616579858119 | 348.46180600843087 | ARIMA        | DE
 GOOGL.US | D         | 2026-07-21 | 349.93805937429886 | 369.67026997086947
|    331.25911209549 | 349.93805937429886 | ELASTICNET   | NELDERMEAD
 GOOGL.US | D         | 2026-07-21 |   350.137661493329 | 369.88112719903313
|  331.4480598791079 |   350.137661493329 | XGBOOST      | BAYESOPT
 GOOGL.US | D         | 2026-07-21 | 349.72206753249395 |  369.4420988407721
| 331.05464943754396 | 349.72206753249395 | THETA        | SA
 GOOGL.US | D         | 2026-07-21 | 348.88933066524123 | 368.56240583715186
|  330.2663622882452 | 348.88933066524123 | LIGHTGBM     | BAYESOPT
 GOOGL.US | D         | 2026-07-21 |  349.1862077538233 | 368.87602314897134
|  330.5473927110035 |  349.1862077538233 | ENSEMBLE     | GA
 GOOGL.US | D         | 2026-07-21 | 349.03987747450213 | 368.72144163829404
| 330.40887322990653 | 349.03987747450213 | ENSEMBLE     | BAYESOPT
 GOOGL.US | D         | 2026-07-21 |  348.7849996753374 | 368.45219186021825
|  330.1676002640705 |  348.7849996753374 | RANDOMFOREST | SA
 GOOGL.US | D         | 2026-07-21 | 349.72206753249395 |  369.4420988407721
| 331.05464943754396 | 349.72206753249395 | THETA        | BAYESOPT
 GOOGL.US | D         | 2026-07-21 | 348.88933066524123 | 368.56240583715186
|  330.2663622882452 | 348.88933066524123 | LIGHTGBM     | DE
 GOOGL.US | D         | 2026-07-21 | 349.46160878427906 |  369.1669534166332
|  330.8080934218153 | 349.46160878427906 | KALMAN       | BAYESOPT
 GOOGL.US | D         | 2026-07-21 | 349.93805937429886 | 369.67026997086947
|    331.25911209549 | 349.93805937429886 | ELASTICNET   | SA
 GOOGL.US | D         | 2026-07-21 |  348.7849996753374 | 368.45219186021825
|  330.1676002640705 |  348.7849996753374 | RANDOMFOREST | BAYESOPT
 GOOGL.US | D         | 2026-07-21 |  350.4079046101124 |  370.1666087100117
|  331.7038779946785 |  350.4079046101124 | ENSEMBLE     | PSO
 GOOGL.US | D         | 2026-07-21 | 346.90503317959497 | 361.09425254438634
| 338.85206516058946 | 346.90503317959497 | QUANTILE     | PSO
 GOOGL.US | D         | 2026-07-21 |   347.900309288902 | 367.51761579673155
|   329.330132763639 |   347.900309288902 | ARIMA        | ACO
 GOOGL.US | D         | 2026-07-21 | 348.88933066524123 | 368.56240583715186
|  330.2663622882452 | 348.88933066524123 | LIGHTGBM     | PSO
 GOOGL.US | D         | 2026-07-21 |   350.137661493329 | 369.88112719903313
|  331.4480598791079 |   350.137661493329 | XGBOOST      | DE
 GOOGL.US | D         | 2026-07-21 | 349.93805937429886 | 369.67026997086947
|    331.25911209549 | 349.93805937429886 | ELASTICNET   | BAYESOPT
 GOOGL.US | D         | 2026-07-21 | 348.88933066524123 | 368.56240583715186
|  330.2663622882452 | 348.88933066524123 | LIGHTGBM     | ACO
 GOOGL.US | D         | 2026-07-21 |   350.137661493329 | 369.88112719903313
|  331.4480598791079 |   350.137661493329 | XGBOOST      | PSO
 GOOGL.US | D         | 2026-07-21 | 349.46160878427906 |  369.1669534166332
|  330.8080934218153 | 349.46160878427906 | KALMAN       | PSO
 GOOGL.US | D         | 2026-07-21 | 348.88933066524123 | 368.56240583715186
|  330.2663622882452 | 348.88933066524123 | LIGHTGBM     | GA
 GOOGL.US | D         | 2026-07-21 | 349.38119477368696 |  369.0820050430319
|  330.7319717396055 | 349.38119477368696 | ENSEMBLE     | NELDERMEAD
 GOOGL.US | D         | 2026-07-21 |   350.137661493329 | 369.88112719903313
|  331.4480598791079 |   350.137661493329 | XGBOOST      | ACO
 GOOGL.US | D         | 2026-07-21 | 346.90503317959497 | 361.09425254438634
| 338.85206516058946 | 346.90503317959497 | QUANTILE     | BAYESOPT
 GOOGL.US | D         | 2026-07-21 |  349.2289933420216 |  368.9212213190944
|  330.5878944957548 |  349.2289933420216 | ENSEMBLE     | DE
